milian P Niroomand, David J Walestitle,year,authors
Changing Data Sources in the Age of Machine Learning for Official Statistics,2023,"Cedric De Boom, Michael Reusens"
DOME: Recommendations for supervised machine learning validation in biology,2020,"Ian Walsh, Dmytro Fishman, Dario Garcia-Gasulla, Tiina Titma, Gianluca Pollastri, The ELIXIR Machine Learning focus group, Jen Harrow, Fotis E. Psomopoulos, Silvio C. E. Tosatto"
Learning Curves for Decision Making in Supervised Machine Learning: A Survey,2022,"Felix Mohr, Jan N. van Rijn"
Active learning for data streams: a survey,2023,"Davide Cacciarelli, Murat Kulahci"
Physics-Inspired Interpretability Of Machine Learning Models,2023,"Maxi"
